,idx,class,conversation
0,0,협박 대화,"지금 너 스스로를 죽여달라고 애원하는 것인가?
 죽을 거면 혼자 죽지 우리까지 사건에 휘말리게 해? 진짜 죽여버리고 싶게.
 너가 선택해. 너가 죽을래 네 가족을 죽여줄까.
 너에게는 선택권이 없어. 선택 못한다면 너와 네 가족까지 모조리 죽여버릴거야.
 그냥 다 죽여버려야겠군. 이의 없지?"
1,1,협박 대화,"9시 40분 마트에 폭발물을 설치할거다.
똑바로 들어 한번만 더 얘기한다.
9시 40분 마트에 폭발물이 터지면 다 죽는거야. 
판단은 너에게 달려있다. 길동경찰서에도 폭발물 터지면 꽤나 재미있겠지.
난 이야기했어. 경고했다는 말이야."
2,2,기타 괴롭힘 대화,"너 되게 귀여운거 알지? 나보다 작은 남자는 첨봤어.
지영아 너가 키 160이지? 그럼 재는 160도 안돼는거네?
니들이 나 작은데 보태준거 있냐?
더이상 하지마라. 
나람 해줬어. 저 키로 어찌살아."
3,3,갈취 대화,"예??
무슨 일.
얘 돈 좀 있나봐
뒤져서 나오면 넌 죽는다
콜. 마지막 기회다. 있는거 다 내놔"
4,4,갈취 대화,"저기요 혹시 날이 너무 뜨겁잖아요? 저희 회사에서 이 선크림 파는데 한 번 손등에 발라보실래요?
여기 한 번 발라보세요. 진짜 성분도 좋고 다 좋아요.
이번에 진짜 열심히 연구해서 만든건데 피부가 많이 예민하신가봐요.
아니 저기요 돈 안내요?
그럼 이거 누구한테 팔아요? 당신이 바른거를?
내가 안 사도 된다고 말 한 적 있어? 그것도 모르고 바른걸 누구 탓 하나? 빨리 사 당신이 바른거 당신이 사야지"
5,5,직장 내 괴롭힘 대화,"나 이틀뒤에 가나다 음식점 예약좀 해줘. 저녁7시로.
응. 남자친구 부모님한테 인사드리려는데 거기가 예약이 좀 힘들어? 그러니까 수진씨가 좀 해줘.
사회생활 안 해본 티를 너무 내는거 아니야? 프로젝트만 백날 잘하면 뭐해? 윗 상사한테 잘 보이기도 해야지!
말 참 이상하게 하네? 이번엔? 내가 뭐 매일같이 이런 심부름이나 시킨다는거야? 뭐야?!
이러면 하고도 욕먹는거야! 한번에 네네 알겠습니다 하면 좀 좋아?!"
6,6,기타 괴롭힘 대화,"아이스커피? 
저기요 아가씨 나는 아아스 시킨적이 없는데?
내가 그랫어? 
아그런 기억이 없는데? 아가씨가잘못안거 아니야?
아가씨. 왜이렇게 유도리가 없이 굴어 그냥 아 제가 잘못 주문 받았습니다 하면 되지?
어휴 유도리 없어 그냥 마실게"
7,7,기타 괴롭힘 대화,"경비아저씨 내차에 경고장 붙였어요?
입주민께서 정해진 주차자리가 아닌 통로에 계속 주차하셔서 입주민들 항의가 계속 들어옵니다.
내차 이거 어떻게 할거요? 얼마짜린줄 알아?
그렇다고 본드로 붙이면 어떻게? 당장 이거 깨끗히 원상복구시키고 세차해와
내가 낸 관리비로 월급받는 주제에 뭐라는거야? 안붙혔으면 되잖아.나 지금 거기 가요!
딱 기다려요 이름뭐죠? 나 지금 가면 당신 이제 끝이야"
8,8,기타 괴롭힘 대화,"이거 할인 된다면서요
 아까 저 시람은 할인 해주던데
 고객을 차별하는 거에요?
 점장 불러오세요
 그니까 점장 불러와"
9,9,갈취 대화,"자네 세금계산서 보내준 거 메일이랑 수치가 다르던데?
얼마나 해먹었어? 괜찮아. 다른 업체들도 다 그래.
그래그래. 근데 성의는 표시해야지?
10장. 네가 많이도 해먹었는데 그정도는 되겠지?
그럼 김사장한테 직접 말하는 수밖에 없지. 그리고 이 건은 국세청에도 걸리는거 알지?"
10,10,갈취 대화,"말보르 레드 하나.
여기 사장은 없어?
지금부터 내 말 잘들어. 여기 주머니에 있는 돈 다 담아.
 입닥쳐. 빨리 사람 오기전에 돈이나 쓸어담어.
 제대로 안하면 패버릴거니까 빨리빨리 해라.
진작 이렇게 빨리 줄것이지. 경찰 신고하면 알지?"
11,11,직장 내 괴롭힘 대화,"이대리 오늘 도대체 뭘한거야?
이게 한거니?
왜 이건 복사 안해놨니?
내가? 아까 말했는데 너가 못들었어 귀 이니?
물도 새로 받아와 이걸 먹으라고 한거니?"
12,12,협박 대화,"우리 애가 지우개 하나 훔친거 가지고 애들 앞에서 면박줬니?
아니 그 구멍가게 물건이 얼마 한다고 그러냐고 내 애가 맨날 훔친거 확실해?
됐고 내 애 울면서 하교 했어 이번 일 각오하는 게 좋을거야 너도 애 있다며?
내 애도 울면서 들어왔는데 그냥 못 넘어가 니 애 죽여버릴거야
됐고 아 저기 네 애 보이네 죽여버릴테니까 니 아들 죽은거 보고 그때 반성해 남 애 함부로 울리면 어떻게 되는지"
13,13,갈취 대화,"형! 형! 돈좀있어?
여기 형말고 누가 있어? 형 얼마 있어?
에이 잘 생겼으니까 형이지. 형 돈 좀만 주면 안때릴게 좀만 줘봐. 돈 많게 생겼네
에이 지갑 주머니에 있네! 내가 지갑 뒤져봐도 돼? 뒤져서 나오면 어떻게 하려고? 그냥 줘
나 진짜 지갑 연다? 내가 말로만 이러니까 우스워?"
14,14,직장 내 괴롭힘 대화,"김사원
이거 오늘까지 제출해야 하는데 좀 해줄래?
아니 좀 도와달라잖아 그것도 못 해줘?
너랑 나랑 얼굴 맞대고 일해야 하는데 감당할 수 있겠어?
감당할 수 있으면 하지 말든가"
15,15,갈취 대화,"야 너 휴대폰좀 빌려줘봐
알 바야? 닥치고 폰이나 내놔 
응 게임 캐시 다떨어져서 충전좀
맞고 줄래 그냥 줄래?
아 씨 오늘따라 왜이렇게 말이 많아 당장 안내놔?"
16,16,갈취 대화,"잠깐만 거기 학생 
그럼 누구겠어 
내가 지갑을 잃어버려서 돈이없다 돈좀 있녀 
주머니에 있는거 열어봐 
그건 내가 판단해 내놔봐 
이리 안줘? 좀 맞을래? "
17,17,갈취 대화,"얼마 가져왔어?
야 이걸로 새 폰을 어떻게 사
그럼 최선을 다해 맞자 너
그럼 내일까지 3배로 만들어 와
아 그건 네가 생각해야지"
18,18,기타 괴롭힘 대화,"야 너이마빡에 빛이난다
야 한대만 때려보자 퍽
아팠어? 빛이나길래 두드려봤다 가만히있어봐 퍽퍽 야 두드리니깐 열리겠는데? 빛이 나다 열리나? 
너 서운하게 왜그러냐 친구사이에 퍽퍽퍽 
야 광이난다 이마빡 참 예뻐 "
19,19,직장 내 괴롭힘 대화,"나씨 정수기 물탱크 좀 갈아주시겠어요?
나씨가 저희 부서 유일한 남자직원이잖아요.
그래서 못해주겠다는 건가요?
나씨가 남자직원이니까 힘도 제일 세고 먹는 양도 저희 여직원보다 더 많을 거 아니에요?
하 그러고도 이 팀에서 잘 어울릴 수 있을까요?"
20,20,협박 대화,"너가 민수라는 남자 제자니?
무슨 일은 그냥 선생님 콩팥 하나 정도 가져가려고
아 어린애라 그런지 상황 판단 못하네 사진 보내 줄 테니 봐봐 장난인지 아닌지
신고해보던지 어딘지는 알고 신고하게?
그럼 내가 말하는 거 가져다 주기만 해 그러면 그냥 깔끔하게 끝날 일이야"
21,21,갈취 대화,"그말을 왜 지금 꺼내.
내가 왜 줘야되는데?
얼마면 되는데?
야 지금 10만원 없어.
내일까지 줄게."
22,22,기타 괴롭힘 대화,"너 뭐라했냐 
야 야 냅둬라 자기가 뜨끔해서 그런거겠지
우쭈쭈 욕먹어서 화났어요?
니가 존나 맘에 안드니까"
